								Class	Cal0	Cal0	Cal0	Cal0-005	Cal0-005	Cal0-005	Cal0-01	Cal0-01	Cal0-01	Cal0-02	Cal0-02	Cal0-02	Cal0-05	Cal0-05	Cal0-05	Cal0-1	Cal0-1	Cal0-1	Cal0-2	Cal0-2	Cal0-2	Cal0-5	Cal0-5	Cal0-5	Cal1	Cal1	Cal1	Cal2	Cal2	Cal2	Cal5	Cal5	Cal5	Cal10	Cal10	Cal10	Cal20	Cal20	Cal20	Cal50	Cal50	Cal50	Cal100	Cal100	Cal100	no spike	pre 5	post 5	pre 20	post 20
5139	9.372	259.08826	Daidzein-d6_IS	[M-H]-	9.29	259.08829	IS\notlatePFAS	660.06	830527872	879069440	835671680	841135488	741294656	796337856	759969472	779024960	780206592	795297472	761914816	756190656	723916928	714921408	736365184	745603904	725621184	718888704	686782400	697174976	691971136	704791168	728273152	694503232	681419136	678788288	664955840	683557824	692569088	684401728	702875968	665540224	716460032	710850560	699353408	705496832	709300736	724456896	661046912	668193792	732605888	678088640	665060288	648168448	669287424	732605888	678088640	665060288	648168448	669287424
6336	11.573	298.03464	Diclofenac-d4_IS	[M-H]-	11.56	298.03448	IS\notlatePFAS	58.07	24736144	24309038	25140356	20085256	24154640	22937256	23216586	23186430	24782222	22996864	25526464	21094662	21859630	18135578	22055418	21734162	23238942	19671330	22105798	19401218	21176724	18655484	20781270	18599256	24054310	18337866	20313148	16439316	17955696	19556214	16818040	19474570	20024936	19825132	18719128	21408796	18889028	21479030	24088676	20749352	21613466	21428762	20901608	20315292	20708304	21613466	21428762	20901608	20315292	20708304
5140	9.099	259.09497	Diphenyl Phosphate-d10_IS	[M-H]-	9.01	259.095	IS\notlatePFAS	58.45	42471548	49213976	43654228	45300900	46154692	48572912	49262540	54692464	47679736	50692588	43952540	46503576	46416804	48774744	49688464	43267500	43500672	57145952	49609656	46242288	44880020	48640344	47079596	46617916	45115912	48799556	42058736	44124008	39933820	43220208	42410504	46974172	46039988	46026672	51017004	42290204	45254332	48227724	43521304	39797408	50724260	46522008	53169428	46029492	50130688	50724260	46522008	53169428	46029492	50130688
4428	10.925	237.04742	Diuron-d6_IS	[M-H]-	10.86	237.04739	IS\notlatePFAS	143.07	308046976	291570144	274181536	267523104	269025824	249106176	244500128	251419008	251931648	236202544	221429104	221795520	213445200	211437072	201846176	210903072	200023872	216270400	195716976	196384880	196420416	208729424	190993696	185821552	191663232	190148112	192666736	189368464	189612432	188361664	186735264	188273424	192872304	196848128	203384832	189946400	203828800	187278880	192502880	209132656	195105680	198906416	204704368	188004736	194664672	195105680	198906416	204704368	188004736	194664672
6391	9.876	300.12326	Enterolactone-13C3_IS	[M-H]-	9.8	300.12329	IS\notlatePFAS	36267.92	268806464	261021152	249571808	239162720	245100464	244687488	238042560	258679584	248354832	246493360	243555824	240640464	240185952	252020080	236913760	237481904	247491168	243542016	233873392	234914704	243825920	244038560	235512928	241958160	256026112	231752608	230091232	232769120	246635520	236335328	242035312	230544576	247403312	244694080	237033440	231502208	221381856	231790992	218610272	218001200	209914592	205696256	188743600	169860432	175319104	209914592	205696256	188743600	169860432	175319104
3009	6.985	197.07582	Monoethyl Phthalate-d4_IS	[M-H]-	6.89	197.0757	IS\notlatePFAS	5.83	19531244	19647100	21406902	17145630	18055078	17490872	14457490	17142104	17342364	16976572	15704525	17389310	14356310	11980104	13660766	14597897	14010076	13752519	12085032	13893118	12580322	12762825	11893916	12818705	13199080	11338705	12755261	11933077	12032492	13716382	13131177	13257329	14272157	12985182	12380848	11660382	13335514	12972763	13669984	13268659	11957434	13406433	14625723	13537916	11941439	11957434	13406433	14625723	13537916	11941439
4034	9.23	225.10718	Monoisobutyl Phthalate-d4_IS	[M-H]-	9.19	225.10699	IS\notlatePFAS	7.23	37616416	37873528	39050052	39589932	32484802	34086316	36227084	38951436	35994372	32580552	33042214	28584782	30920212	33982884	29905100	31443134	31546696	27984702	27436716	25711430	28819696	27851754	28251158	30515700	30403138	27553178	27054290	26566814	24451700	30914976	30359374	28628044	31088314	29334622	27812612	28399352	30405956	30315660	27026278	29710164	28754808	31363734	29095956	29742904	28254770	28754808	31363734	29095956	29742904	28254770
2246	8.591	174.10541	Norharmane-d7_IS	[M-H]-	8.5	174.10539	IS\notlatePFAS	20.39	31745564	30067184	30751244	27724532	27349798	25850052	23319944	23892802	21481308	21146864	19256240	20613926	18104356	21075556	19212182	17215752	18785762	17644074	18704324	19227494	15202797	17265282	16385912	17958372	17752076	20387778	19178484	19743940	19071418	20022384	16064777	16721196	15962212	17093812	18207592	16247507	20005212	18130410	22232152	18496586	18191388	17792982	17790498	16333594	15174161	18191388	17792982	17790498	16333594	15174161
4198	12.387	230.09024	Oxybenzone-d3_IS	[M-H]-	12.32	230.09019	IS\notlatePFAS	15.3	27796520	25801674	28321090	26244086	29633312	24518784	21651038	27354120	24332416	23117730	20166492	27178676	22516106	22925898	22876512	19630504	20793950	20598880	18866308	21153784	21542004	20971422	22004794	20842282	18698660	17668266	18054896	20232912	20297616	21883164	17100830	18621574	17053336	20046390	20207108	19315838	21818126	19529152	18914492	18335862	19315574	19299602	20228070	17806654	20270590	19315574	19299602	20228070	17806654	20270590
5399	12.446	268.85992	Pentachlorophenol-13C6_IS	[M-H]-	12.46	268.85989	IS\notlatePFAS	70.97	81610064	93564456	90216128	87652464	94428400	100098784	92775768	88879960	91196496	88883352	92856552	92277664	93654384	82617824	95770600	87334464	85389728	87608776	83284144	89094048	80241680	83050096	81340024	86808704	86708952	83345464	84688144	80922192	83925480	91843768	77377592	84926304	80916512	87173280	84065472	82061152	85828424	87738096	86963072	78990720	69892248	82685536	76860832	84409904	75503384	69892248	82685536	76860832	84409904	75503384
